Srinivasa_Ayyangar1918	SrinivasaAyyangar1918_01
Srinivasan	Srinivasan1965-1966_01
Srinivasan1971	Srinivasan1971-1972_01
Srinivasan1979a	Srinivasan+Sankaranarayanan1979_01
Stone1994_01
Subba_Rao1926	SubbaRao1926_01
Subba_Rao1928	SubbaRao1928_01
Subrahmanyam2008b	Subrahmanyam+al2008_01
Suryavanshi1962	Suryavanshi1962_01
TobuNaraNagoyaNHK1998_01
Tournier2017	Tournier2012_01
Tournier2018	Tournier2018_01
Trautmann
Tsukamoto1996	Tsukamoto1996_01
Tsukamoto1996-2003_01
Venkataramanayya1969c	Subrahmanyam1969_01
Venkataramanayya1974a	Sankaranarayanan1974_01
Venkataramanayya1974b	SomasekharaSarma1974_01
Venkataramayya1965_01
Vidyadhara_Rao1969	VidyadharaRao1969_01
Vogela	Vogel1929–1930_02
Vogelb	Vogel1931-1932_01
Vogelc	Vogel1947-1948_01
Vogeld	Vogel1929–1930_01
xxx
Yuyama2001	Yuyama2001_01
zoteroItem_G9CH6AGA	ARIE
